filename,play_count,like_count
1.jpg,3120488,55572
2.jpg,473808,9091
3.jpg,20815,271
4.jpg,8831850,230597
5.jpg,384,0
6.jpg,635390,6751
7.jpg,4733653,399575
8.jpg,219670,28506
9.jpg,1235934,21970
10.jpg,16154,157
11.jpg,3806535,0
12.jpg,45866,983
13.jpg,6209790,102187
14.jpg,717436,43716
15.jpg,232636,10733
16.jpg,3539981,106798
17.jpg,4308227,0
18.jpg,1343654,55044
19.jpg,22763,191
20.jpg,195804,1058
21.jpg,9954,553
22.jpg,195813,1058
23.jpg,11900978,1258492
24.jpg,13213883,264996
25.jpg,997521,40986
26.jpg,113567,2089
27.jpg,476939,18782
28.jpg,39963,802
29.jpg,7484,399
30.jpg,804307,15492
31.jpg,5208826,240447
32.jpg,31055,436
33.jpg,98,3
34.jpg,24972536,1597250
35.jpg,1306760,15895
36.jpg,19701,198
37.jpg,76,0
38.jpg,37832,406
39.jpg,34754481,2454092
40.jpg,1163592,51572
41.jpg,809322,0
42.jpg,76,0
43.jpg,3635835,290216
44.jpg,1711411,154845
45.jpg,541799,10978
46.jpg,239715,13361
47.jpg,2866450,0
48.jpg,4379117,137848
49.jpg,366577,4990
50.jpg,260138,2431
51.jpg,335777,2003
52.jpg,328,1
53.jpg,7024853,0
54.jpg,440378,5610
55.jpg,127149,6049
56.jpg,2695719,136935
57.jpg,55016,301
58.jpg,467747,2639
59.jpg,4817440,0
60.jpg,175387,1253
61.jpg,2933566,104278
62.jpg,4817440,0
63.jpg,652,1
64.jpg,2105409,75111
65.jpg,12664,110
66.jpg,3586362,192662
67.jpg,4448609,33317
68.jpg,3688414,0
69.jpg,818582,11526
70.jpg,4499,58
71.jpg,4135253,367884
72.jpg,229748,16666
73.jpg,24467,99
74.jpg,553383,0
75.jpg,695,81
76.jpg,7844027,510411
77.jpg,89000,2337
78.jpg,3111855,123916
79.jpg,193708,3350
80.jpg,485434,0
81.jpg,567870,26665
82.jpg,4921320,271123
83.jpg,3111859,123916
84.jpg,88576,1655
85.jpg,1977196,41794
86.jpg,304,0
87.jpg,116864,1005
88.jpg,2412904,29720
89.jpg,376,2
90.jpg,1323386,44583
91.jpg,2296136,17449
