filename,play_count,like_count
1.jpg,321614,13144
2.jpg,999769,50595
3.jpg,77269,0
4.jpg,45170,1189
5.jpg,442180,7206
6.jpg,3358480,186376
7.jpg,2179991,85660
8.jpg,2688648,40056
9.jpg,93762,0
10.jpg,277095,5656
11.jpg,9461,712
12.jpg,186649,2922
13.jpg,11630,171
14.jpg,3282013,363153
15.jpg,2598,0
16.jpg,4995,102
17.jpg,310171,11645
18.jpg,452784,7065
19.jpg,5696,145
20.jpg,1366180,104934
21.jpg,30604,0
22.jpg,97445,1393
23.jpg,1385582,53889
24.jpg,776993,21733
25.jpg,415778,17892
26.jpg,2800,46
27.jpg,6922,132
28.jpg,16199,293
29.jpg,1882,53
30.jpg,62254,5086
31.jpg,1763,31
32.jpg,3284,122
33.jpg,4760,125
34.jpg,607,30
35.jpg,2616,86
36.jpg,13240,192
37.jpg,297,4
38.jpg,96842,1913
39.jpg,3748,64
40.jpg,68777,2041
41.jpg,674,0
42.jpg,297,4
43.jpg,14991,245
44.jpg,612,30
45.jpg,44283,481
46.jpg,2637005,83159
47.jpg,5672,0
48.jpg,3423864,256322
49.jpg,35694,4598
50.jpg,122383,1987
51.jpg,1763,31
52.jpg,6684135,673183
53.jpg,12997,0
54.jpg,5733,145
55.jpg,416968,17922
56.jpg,89326,8306
57.jpg,3748,64
58.jpg,69975,834
59.jpg,254,5
60.jpg,12302,248
61.jpg,89338,8306
62.jpg,112706,1324
63.jpg,788,11
64.jpg,2619,86
65.jpg,577845,20435
66.jpg,640009,13795
67.jpg,3284,122
68.jpg,3441,55
69.jpg,866646,21648
70.jpg,524,3
71.jpg,3519901,328165
72.jpg,67320,644
73.jpg,834,31
74.jpg,452784,7065
75.jpg,4995,102
76.jpg,31400,663
77.jpg,9399,231
78.jpg,627462,15721
79.jpg,1176808,56042
80.jpg,124180,3398
81.jpg,89338,8307
82.jpg,1385582,53889
83.jpg,6737,142
84.jpg,73110,2155
85.jpg,524,3
86.jpg,3187,91
87.jpg,254,5
88.jpg,31400,663
89.jpg,28475,421
90.jpg,28198,1249
91.jpg,788,11
92.jpg,452786,7065
93.jpg,35058,2128
94.jpg,101983,2260
95.jpg,1121,35
96.jpg,1656,58
97.jpg,87296,2699
98.jpg,723558,69850
99.jpg,2610,155
100.jpg,1073067,32446
101.jpg,448393,7240
102.jpg,592177,16026
103.jpg,306,4
104.jpg,112706,1324
105.jpg,28475,421
106.jpg,1203,27
